Date,Region,Latitude,Longitude,Soil_pH,Organic_matter,Nitrogen,Phosphorus,Potassium
2013-01-31,Melbourne Wantrina South,-37.864926,145.203933,5.99816047538945,1.0393941530015727,0.8896357647351599,0.08725714766587106,0.2071134436367615
2013-02-28,Melbourne Wantrina South,-37.864926,145.203933,8.302857225639665,2.0192682713163257,0.766691755978784,0.04860946246375166,1.7429725148846011
2013-03-31,Melbourne Wantrina South,-37.864926,145.203933,7.42797576724562,4.743093667606336,0.7273141668957411,0.07757839610123476,1.6445119173471474
2013-04-30,Melbourne Wantrina South,-37.864926,145.203933,6.894633936788146,1.9544131940933984,0.7322356755883983,0.07790885866762141,1.9994635792436481
2013-05-31,Melbourne Wantrina South,-37.864926,145.203933,5.124074561769746,2.8345577978451475,0.42354203609777963,0.019281148195233938,1.9936099904404203
2013-06-30,Melbourne Wantrina South,-37.864926,145.203933,5.123978081344811,3.6635853150283,0.3642326598380441,0.091229761601161,1.1553202406449923
2013-07-31,Melbourne Wantrina South,-37.864926,145.203933,4.732334448672798,2.136333210706823,0.8284250399306623,0.05547271352030715,1.56107608884297
2013-08-31,Melbourne Wantrina South,-37.864926,145.203933,7.96470458309974,4.873019372244323,0.8291020552112627,0.08438117194969676,1.8950548867766133
2013-09-30,Melbourne Wantrina South,-37.864926,145.203933,6.904460046972835,4.8310128272395,0.8803650867220933,0.038804464092755064,1.7143300422870817
2013-10-31,Melbourne Wantrina South,-37.864926,145.203933,7.332290311184182,1.6330203312141387,0.9219164973008241,0.09059709056465805,0.5699613933120755
2013-11-30,Melbourne Wantrina South,-37.864926,145.203933,4.58233797718321,2.7376182765157346,0.560208158974844,0.045028151086074684,0.9560338570891777
2013-12-31,Melbourne Wantrina South,-37.864926,145.203933,8.379639408647977,1.8539523941754634,0.5513646652184797,0.010975388633226852,0.3454028887878404
2014-01-31,Melbourne Wantrina South,-37.864926,145.203933,7.829770563201687,1.7817822246986044,0.8184656610700977,0.09148437787773374,1.9126969517915726
2014-02-28,Melbourne Wantrina South,-37.864926,145.203933,5.349356442713105,0.6659912630953976,0.6849675376999886,0.01821580091075202,1.2517318054566722
